line number,OBS number ,FFID start,FFID end,uncertainty rank ,,,,,uncertainty rank,uncertainty (ms),qualitative description,,,,,,,,,,
PO01A,12S01,22391,22655,3,,,,,1,24,good ,,,,,,,,,,
PO01A,12S02,22216,22600,1,,,,,2,50,okay,,,,,,,,,,
PO01A,12S02,22601,22710,2,,,,,3,100,"bad, but picked anyways ",,,,,,,,,,
PO01A,12S02,22709,22912,3,,,,,,,,,,,,,,,,,
PO01A,12S03,22185,22329,2,,,,,,,,,,,,,,,,,
PO01A,12S03,22330,22752,1,,,,,,,,,,,,,,,,,
PO01A,12S04,22000,22902,1,,,,,,,,,,,,,,,,,
PO01A,12S05,22099,22208,2,,,,,,,,,,,,,,,,,
PO01A,12S05,22209,22683,1,,,,,,,,,,,,,,,,,
PO01A,12S05,22684,22795,2,,,,,,,,,,,,,,,,,
PO01A,12S05,22796,22900,3,,,,,,,,,,,,,,,,,
PO01A,12S06,22291,22362,2,,,,,,,,,,,,,,,,,
PO01A,12S06,22363,22664,1,,,,,,,,,,,,,,,,,
PO01A,12S06,22665,22734,2,,,,,,,,,,,,,,,,,
PO01A,12S07,22345,22860,1,,,,,,,,,,,,,,,,,
PO01A,12S08,22305,22759,1,,,,,,,,,,,,,,,,,
PO01A,12S09,22363,22833,1,,,,,,,,,,,,,,,,,
PO01A,12S10,22099,22699,1,,,,,,,,,,,,,,,,,
PO01A,12S10,22700,23008,2,,,,,,,,,,,,,,,,,
PO01A,12S11,22110,22809,1,,,,,,,,,,,,,,,,,
PO01A,12S11,22810,22959,2,,,,,,,,,,,,,,,,,
PO01A,12S12,22144,22231,2,,,,,,,,,,,,,,,,,
PO01A,12S12,22232,22791,1,,,,,,,,,,,,,,,,,
PO01A,12S12,22792,22953,2,,,,,,,,,,,,,,,,,
PO01A,12S13,22060,22307,1,,,,,,,,,,,,,,,,,
PO01A,12S13,22308,23120,2,,,,,,,,,,,,,,,,,
PO01A,12S14,22082,23114,1,,,,,,,,,,,,,,,,,
PO01A,12S15,22036,22230,2,,,,,,,,,,,,,,,,,
PO01A,12S15,22345,22424,3,,,,,,,,,,,,,,,,,
PO01A,12S15,22425,22992,1,,,,,,,,,,,,,,,,,
PO01A,12S15,22993,23237,2,,,,,,,,,,,,,,,,,
PO01A,12S16,22102,22735,1,,,,,,,,,,,,,,,,,
PO01A,12S16,22736,22965,2,,,,,,,,,,,,,,,,,
PO01A,1AS03,21167,21596,1,,,,,,,,,,,,,,,,,
PO01A,1AS04,21167,21688,1,,,,,,,,,,,,,,,,,
PO01A,1AS05,21167,21720,1,,,,,,,,,,,,,,,,,
PO01A,1AS06,21167,21694,1,,,,,,,,,,,,,,,,,
PO01A,1AS06,21695,21895,2,,,,,,,,,,,,,,,,,
PO01A,1AS07,21335,21438,2,,,,,,,,,,,,,,,,,
PO01A,1AS07,21439,21732,1,,,,,,,,,,,,,,,,,
PO01A,1AS08,21444,21533,2,,,,,,,,,,,,,,,,,
PO01A,1AS08,21534,21832,1,,,,,,,,,,,,,,,,,
PO01A,1AS08,21833,21905,2,,,,,,,,,,,,,,,,,
PO01A,1AS09,21430,21534,2,,,,,,,,,,,,,,,,,
PO01A,1AS09,21535,21658,3,,,,,,,,,,,,,,,,,
PO01A,1AS09,21659,21936,1,,,,,,,,,,,,,,,,,
PO01A,1AS09,21937,21976,2,,,,,,,,,,,,,,,,,
PO01A,1AS10,21650,21737,2,,,,,,,,,,,,,,,,,
PO01A,1AS10,21738,22103,1,,,,,,,,,,,,,,,,,
PO01A,1AS11,21760,22162,1,,,,,,,,,,,,,,,,,
PO01A,1AS12,21800,22175,1,,,,,,,,,,,,,,,,,
PO01A,1AS13,21938,21951,2,,,,,,,,,,,,,,,,,
PO01A,1AS13,21952,22280,1,,,,,,,,,,,,,,,,,
PO01A,1AS13,22281,22369,2,,,,,,,,,,,,,,,,,
PO01A,1AS14,21991,22267,1,,,,,,,,,,,,,,,,,
PO01A,1AS14,22268,22387,2,,,,,,,,,,,,,,,,,
PO01A,1AS14,22451,22556,1,,,,,,,,,,,,,,,,,
PO01A,1AS14,22557,22605,2,,,,,,,,,,,,,,,,,
PO01A,1AS15,22041,22572,1,,,,,,,,,,,,,,,,,
PO01A,1AS16,22132,22150,2,,,,,,,,,,,,,,,,,
PO01A,1AS16,22151,22403,1,,,,,,,,,,,,,,,,,
PO01A,1AS16,22404,22440,2,,,,,,,,,,,,,,,,,
PO01A,1AS16,22441,22531,1,,,,,,,,,,,,,,,,,
PO01A,1AS16,22532,22585,2,,,,,,,,,,,,,,,,,
PO01A,1AS17,22344,22365,2,,,,,,,,,,,,,,,,,
PO01A,1AS17,22366,22518,1,,,,,,,,,,,,,,,,,
PO01A,1AS17,22519,22658,2,,,,,,,,,,,,,,,,,
PO01A,1AS18,22404,22450,2,,,,,,,,,,,,,,,,,
PO01A,1AS18,22451,22636,1,,,,,,,,,,,,,,,,,
PO01A,1AS18,22637,22752,2,,,,,,,,,,,,,,,,,
PO01A,1AS19,22428,22819,1,,,,,,,,,,,,,,,,,
PO01A,1AS20,22424,22839,1,,,,,,,,,,,,,,,,,
PO01A,1AS21,22428,22581,2,,,,,,,,,,,,,,,,,
PO01A,1AS21,22582,22928,1,,,,,,,,,,,,,,,,,
PO01A,1AS21,22929,23241,2,,,,,,,,,,,,,,,,,
PO01A,1AS22,22611,23072,1,,,,,,,,,,,,,,,,,
PO01A,1AS23,22715,23308,1,,,,,,,,,,,,,,,,,
PO01A,1AS24,22574,22655,3,,,,,,,,,,,,,,,,,
PO01A,1AS24,22656,22783,2,,,,,,,,,,,,,,,,,
PO01A,1AS24,22784,23225,1,,,,,,,,,,,,,,,,,
PO01A,1AS25,22860,23289,1,,,,,,,,,,,,,,,,,
PO01A,1AS25,23290,23324,3,,,,,,,,,,,,,,,,,
PO01A,1AS25,23325,23358,2,,,,,,,,,,,,,,,,,
PO01A,1AS26,22876,23068,2,,,,,,,,,,,,,,,,,
PO01A,1AS26,23069,23357,1,,,,,,,,,,,,,,,,,
PO01A,1AS27,22644,22705,3,,,,,,,,,,,,,,,,,
PO01A,1AS27,22706,22830,2,,,,,,,,,,,,,,,,,
PO01A,1AS27,22831,22965,3,,,,,,,,,,,,,,,,,
PO01A,1AS27,22966,23317,1,,,,,,,,,,,,,,,,,
PO01A,1AS27,23318,23351,2,,,,,,,,,,,,,,,,,
PO01A,2S19,22066,22397,2,,,,,,,,,,,,,,,,,
PO01A,2S19,22398,22425,1,,,,,,,,,,,,,,,,,
PO01A,2S19,22426,22471,2,,,,,,,,,,,,,,,,,
PO01A,2S19,22472,22628,1,,,,,,,,,,,,,,,,,
PO01A,2S19,22629,22740,2,,,,,,,,,,,,,,,,,
PO01A,2S20,22198,22153,2,,,,,,,,,,,,,,,,,
PO01A,2S20,22154,22802,1,,,,,,,,,,,,,,,,,
PO01A,2S20,22803,23216,2,,,,,,,,,,,,,,,,,
PO01A,2S21,22183,22301,3,,,,,,,,,,,,,,,,,
PO01A,2S21,22302,22715,1,,,,,,,,,,,,,,,,,
PO01A,2S21,22716,23000,2,,,,,,,,,,,,,,,,,
PO01A,2S22,22392,22985,1,,,,,,,,,,,,,,,,,
PO01A,2S23,22389,22886,1,,,,,,,,,,,,,,,,,
PO01A,2S23,22887,22979,2,,,,,,,,,,,,,,,,,
PO01A,2S23,22980,23095,3,,,,,,,,,,,,,,,,,
PO01A,2S24,22182,22702,2,,,,,,,,,,,,,,,,,
PO01A,2S24,22703,22957,1,,,,,,,,,,,,,,,,,
PO01A,2S24,22958,23148,3,,,,,,,,,,,,,,,,,
PO01A,2S25,22241,22432,2,,,,,,,,,,,,,,,,,
PO01A,2S25,22433,22536,3,,,,,,,,,,,,,,,,,
PO01A,2S25,22537,22597,2,,,,,,,,,,,,,,,,,
PO01A,2S25,22598,22636,1,,,,,,,,,,,,,,,,,
PO01A,2S25,22637,22747,2,,,,,,,,,,,,,,,,,
PO01A,2S25,22748,23108,1,,,,,,,,,,,,,,,,,
PO01A,2S25,23109,23291,2,,,,,,,,,,,,,,,,,
PO01A,2S25,23292,23356,1,,,,,,,,,,,,,,,,,
PO01A,2S26,22657,23018,3,,,,,,,,,,,,,,,,,
PO01A,2S26,23019,23243,2,,,,,,,,,,,,,,,,,
PO01A,2S26,23244,23285,1,,,,,,,,,,,,,,,,,
PO01A,2S26,23286,23346,2,,,,,,,,,,,,,,,,,
