station,line ,FFID start ,FFID end ,uncertainty rank ,,,,uncertainty rank ,uncertainty (ms),qualitative description,,,,,
BNAB,PM01B2,17730,17994,2,,,,1,100,great ,,,,,
BNAB,PM01B2,18280,18560,2,,,,2,250,ok,,,,,
BNAB,PM01B2,18561,19075,3,,,,3,500,"bad, but I picked anyways ",,,,,
BNAB,PM03A,7548,8135,1,,,,,,,,,,,
BNAB,PM16A,13020,13884,2,,,,,,,,,,,
BNAB,PO01B1,1349,1525,2,,,,,,,,,,,
BNAB,PO03,5290,5415,2,,,,,,,,,,,
BNAB,PO03,5416,5524,1,,,,,,,,,,,
BNAB,PO03,5525,5775,3,,,,,,,,,,,
BNAB,RM01B,85539,86528,2,,,,,,,,,,,
BNAB,RM16,83922,84483,2,,,,,,,,,,,
BNAB,RM16,84484,84624,1,,,,,,,,,,,
BNAB,RM16,84625,84675,2,,,,,,,,,,,
BNAB,RM16,84676,84872,3,,,,,,,,,,,
BNAB,RM16,84873,84936,2,,,,,,,,,,,
BNAB,T16A01B,14156,14200,1,,,,,,,,,,,
BNAB,T16A01B,14500,14550,3,,,,,,,,,,,
BNAB,T16A01B,14551,14650,2,,,,,,,,,,,
BNAB,T16A01B,14651,14850,1,,,,,,,,,,,
BNAB,T16A01B,14985,15100,3,,,,,,,,,,,
BNAB,T0316,8334,8500,1,,,,,,,,,,,
BNAB,T0316,8501,8810,2,,,,,,,,,,,
BNAB,T0316,8811,8915,3,,,,,,,,,,,
BNAB,T0316,8916,8990,2,,,,,,,,,,,
BNAB,T0316,8991,10110,3,,,,,,,,,,,
BNAB,T0607,48050,48574,2,,,,,,,,,,,
BNAB,T0607,48575,48730,3,,,,,,,,,,,
BNAB,T0607,48731,4900,2,,,,,,,,,,,
CRAG,PM01A1,23500,25236,3,,,,,,,,,,,
CRAG,PM01A2A,76485,77150,2,,,,,,,,,,,
CRAG,PM01A2A,77151,77450,3,,,,,,,,,,,
CRAG,PM01A2A,77451,78050,2,,,,,,,,,,,
CRAG,PM07,50850,51110,3,,,,,,,,,,,
CRAG,PM08,53480,54500,2,,,,,,,,,,,
CRAG,PM08,54501,55250,3,,,,,,,,,,,
CRAG,PM09,56400,57225,3,,,,,,,,,,,
CRAG,PM10,62225,62593,2,,,,,,,,,,,
CRAG,PM10,62594,63170,1,,,,,,,,,,,
CRAG,PM11,64035,64153,1,,,,,,,,,,,
CRAG,PM11,64154,64681,3,,,,,,,,,,,
CRAG,PM11,64682,64910,2,,,,,,,,,,,
CRAG,PM11,64911,66550,3,,,,,,,,,,,
CRAG,PM12,70000,70805,2,,,,,,,,,,,
CRAG,PM12,70806,71575,1,,,,,,,,,,,
CRAG,PO01A,21550,21920,3,,,,,,,,,,,
CRAG,PO01A,21921,22160,2,,,,,,,,,,,
CRAG,PO01A,22161,22253,1,,,,,,,,,,,
CRAG,PO01A,22254,22475,2,,,,,,,,,,,
CRAG,PO01A,22476,22570,1,,,,,,,,,,,
CRAG,PO01A,22571,222650,2,,,,,,,,,,,
CRAG,PO02A,34850,35555,2,,,,,,,,,,,
CRAG,PO02A,35556,36109,1,,,,,,,,,,,
CRAG,PO02A,36110,36285,2,,,,,,,,,,,
CRAG,PO12A,27700,27758,2,,,,,,,,,,,
CRAG,PO12A,27759,27789,1,,,,,,,,,,,
CRAG,PO12A,27790,28105,2,,,,,,,,,,,
CRAG,PO12A,28106,28153,1,,,,,,,,,,,
CRAG,RM09,80625,81000,2,,,,,,,,,,,
CRAG,T01A1112,25450,25825,3,,,,,,,,,,,
CRAG,T1213,71825,72325,2,,,,,,,,,,,
CRAG,T1213,72326,72542,1,,,,,,,,,,,
CRAG,T1213,72543,72975,2,,,,,,,,,,,
CRAG,T12A14A,28205,28395,2,,,,,,,,,,,
CRAG,T12A14A,28396,28660,3,,,,,,,,,,,
CRAG,T12A14B,28711,28746,1,,,,,,,,,,,
CRAG,T12A14B,28747,29000,3,,,,,,,,,,,
CRAG,T12A14B,29001,29039,2,,,,,,,,,,,
CRAG,T12A14B,29040,29108,1,,,,,,,,,,,
CRAG,T12A14B,29109,29506,3,,,,,,,,,,,
CRAG,T1301A2A,75605,76300,2,,,,,,,,,,,
NDB,PM01B2,19100,19367,1,,,,,,,,,,,
NDB,PM01B2,19368,19529,2,,,,,,,,,,,
NDB,PM01B2,19530,19724,1,,,,,,,,,,,
NDB,PM01B2,19725,20022,2,,,,,,,,,,,
NDB,PM01B2,20023,20192,1,,,,,,,,,,,
NDB,PM01B2,20193,20422,2,,,,,,,,,,,
NDB,PM01B2,20423,20958,1,,,,,,,,,,,
NDB,PM05,43400,43792,2,,,,,,,,,,,
NDB,PM05,43793,44018,1,,,,,,,,,,,
NDB,PM06,46600,47120,1,,,,,,,,,,,
NDB,PM06,47121,47332,2,,,,,,,,,,,
NDB,PM06,47333,47795,1,,,,,,,,,,,
NDB,PM07,50050,50328,2,,,,,,,,,,,
NDB,PM07,50329,50415,1,,,,,,,,,,,
NDB,PM07,50416,50567,2,,,,,,,,,,,
NDB,PM07,50568,51118,1,,,,,,,,,,,
NDB,PM08,53929,54167,2,,,,,,,,,,,
NDB,PM08,54307,54393,1,,,,,,,,,,,
NDB,PM08,54394,54481,2,,,,,,,,,,,
NDB,PO01A,21170,21538,1,,,,,,,,,,,
NDB,PO01B4,2446,3015,1,,,,,,,,,,,
NDB,T0204,37539,37622,1,,,,,,,,,,,
NDB,T0204,37689,37833,2,,,,,,,,,,,
NDB,T0204,37834,38013,1,,,,,,,,,,,
NDB,T0204,38111,38217,2,,,,,,,,,,,
NDB,T0204,38218,38613,3,,,,,,,,,,,
NDB,T0607,48304,48829,1,,,,,,,,,,,
NDB,T0607,48830,48976,2,,,,,,,,,,,
NDB,T0708,51605,51914,1,,,,,,,,,,,
NDB,T0708,51915,52111,2,,,,,,,,,,,
NDB,T0708,52112,52238,1,,,,,,,,,,,
NDB,T0708,52239,52397,3,,,,,,,,,,,
PCLB,PM01A2B,83160,83197,2,,,,,,,,,,,
PCLB,PM01A2B,83198,83774,1,,,,,,,,,,,
PCLB,PM01B2,19171,19270,2,,,,,,,,,,,
PCLB,PM01B2,19271,19710,1,,,,,,,,,,,
PCLB,PM01B2,19711,19805,2,,,,,,,,,,,
PCLB,PM01B2,20434,20960,1,,,,,,,,,,,
PCLB,PM03A,7984,8016,2,,,,,,,,,,,
PCLB,PM03A,8017,8075,2,,,,,,,,,,,
PCLB,PM03A,8076,8093,3,,,,,,,,,,,
PCLB,PM03A,8094,8135,1,,,,,,,,,,,
PCLB,PM04A,40375,40122,2,,,,,,,,,,,
PCLB,PM04A,40723,40839,3,,,,,,,,,,,
PCLB,PM04A,40840,40934,2,,,,,,,,,,,
PCLB,PM04A,40935,41359,1,,,,,,,,,,,
PCLB,PM05,43564,43763,3,,,,,,,,,,,
PCLB,PM05,43764,44198,2,,,,,,,,,,,
PCLB,PM05,44199,44675,1,,,,,,,,,,,
PCLB,PM06,46635,47147,1,,,,,,,,,,,
PCLB,PM06,47148,47207,2,,,,,,,,,,,
PCLB,PM06,47208,47426,1,,,,,,,,,,,
PCLB,PM06,47427,47606,2,,,,,,,,,,,
PCLB,PM06,47607,47794,1,,,,,,,,,,,
PCLB,PM07,50000,50275,3,,,,,,,,,,,
PCLB,PM07,50276,50489,2,,,,,,,,,,,
PCLB,PM07,50490,51122,1,,,,,,,,,,,
PCLB,PM09,56126,56905,2,,,,,,,,,,,
PCLB,PM16A,13387,13507,3,,,,,,,,,,,
PCLB,PM16A,13508,13734,1,,,,,,,,,,,
PCLB,PO01B4,2441,2543,1,,,,,,,,,,,
PCLB,PO01B4,2544,2798,3,,,,,,,,,,,
PCLB,PO01B4,2799,3003,1,,,,,,,,,,,
PCLB,T0316,8336,8426,1,,,,,,,,,,,
PCLB,T0316,8427,8485,3,,,,,,,,,,,
PCLB,T0316,8486,8672,2,,,,,,,,,,,
PCLB,T0316,8673,8756,3,,,,,,,,,,,
PCLB,T0405,41445,41476,1,,,,,,,,,,,
PCLB,T0405,41477,41716,2,,,,,,,,,,,
PCLB,T0405,41717,41738,1,,,,,,,,,,,
PCLB,T0405,41740,41910,3,,,,,,,,,,,
PCLB,T0405,41911,42332,1,,,,,,,,,,,
PCLB,T0506,45030,45366,1,,,,,,,,,,,
PCLB,T0506,45367,45703,2,,,,,,,,,,,
PCLB,T0506,45704,45815,1,,,,,,,,,,,
